name,symbol,price(USD),change24h,change7d,market_cap(USD),volume24h(USD),circulating_supply
Bitcoin,BTC,39094.21,1.29,-2.09,731836847206,45470625020,18719825
Ethereum,ETH,2788.74,1.42,-0.17,323629127702,35972714303,116048312
Tether,USDT,1.0,-0.0,-0.01,61022609495,100745091810,60918547889
Binance Coin,BNB,374.21,1.66,-3.35,57416715321,4142363680,153432897
Cardano,ADA,1.71,-1.32,-4.62,54504305831,4412971762,31948309441
XRP,XRP,0.9913,0.4,-15.32,45740588307,5363156621,46143602688
Dogecoin,DOGE,0.3348,-3.67,-16.75,43443463219,2470037748,129776492184
Polkadot,DOT,24.43,2.41,-14.64,23023529684,2761674553,942361352
USD Coin,USDC,1.0,0.01,0.07,22030116476,1977428201,22016486483
Internet Computer,ICP,136.26,-2.14,-22.66,16903442021,291379453,124048742
Uniswap,UNI,28.91,10.72,10.28,16352212882,1114542241,565684971
Bitcoin Cash,BCH,772.75,5.29,-5.22,14487738901,3469632537,18748313
Chainlink,LINK,33.01,7.9,7.98,14126477796,3114454260,428009554
Litecoin,LTC,198.64,2.26,-5.34,13259848556,4074452232,66752415
Polygon,MATIC,2.08,-8.55,5.44,12927974488,5398466226,6211590053
Stellar,XLM,0.4313,-2.41,-11.78,9965332627,1457443657,23106938452
Solana,SOL,34.3,-0.02,-27.81,9350629540,667873166,272637428
Binance USD,BUSD,1.0,-0.0,0.08,8833000505,6276047874,8828293822
Ethereum Classic,ETC,74.76,-2.83,1.99,8695488903,5075610953,116313299
VeChain,VET,0.1268,-2.84,-2.05,8153770386,1258450096,64315576989
THETA,THETA,7.89,9.21,7.22,7886730206,380260853,1000000000
Wrapped Bitcoin,WBTC,39150.45,1.17,-2.5,7211960694,258497933,184211
EOS,EOS,7.27,17.19,12.06,6931717378,5426111673,953742275
TRON,TRX,0.08011,-1.08,-8.48,5740433858,1910012626,71659657369
Filecoin,FIL,71.05,-2.18,-19.33,5244203489,813034296,73806120
Aave,AAVE,384.25,3.17,-19.56,4904865072,700012893,12764761
Monero,XMR,258.34,-0.21,-1.79,4629155679,351581624,17918893
Dai,DAI,1.0,0.03,0.03,4622297225,454675392,4616005532
Neo,NEO,63.11,4.82,-3.74,4451548408,908337354,70538831
Klaytn,KLAY,1.6,0.84,-3.72,3944373565,70532773,2467876916
Maker,MKR,3761.47,-0.8,-3.85,3729531246,252963235,991510
SHIBA INU,SHIB,8.968e-06,-4.87,-11.84,3540366549,728712295,394796000000000
Tezos,XTZ,4.01,5.52,-1.9,3519689925,240304652,877375709
Bitcoin SV,BSV,183.91,3.78,-3.99,3447256112,1184712248,18744183
FTX Token,FTT,36.26,2.45,-10.21,3420683072,100261193,94346958
IOTA,MIOTA,1.21,0.46,-7.68,3358462330,121566312,2779530283
Crypto.com Coin,CRO,0.131,2.6,5.36,3310014360,74798734,25263013692
Cosmos,ATOM,14.71,1.67,-9.6,3100228901,324633874,210767263
PancakeSwap,CAKE,18.67,0.86,-6.74,3078944172,394342706,164900129
Algorand,ALGO,0.994,-1.38,-9.54,3037065739,179561276,3055319852
THORChain,RUNE,14.08,14.84,1.7,3007447422,191370379,213536800
Huobi Token,HT,16.26,-0.74,-29.62,2846576538,599814590,175074232
BitTorrent,BTT,0.004216,-0.89,-0.82,2782684164,784007378,659952625000
Terra,LUNA,6.86,1.5,-33.48,2778004502,543574787,404739974
Kusama,KSM,319.62,-1.21,-19.5,2707214838,253260083,8470098
Avalanche,AVAX,19.61,-0.39,-24.0,2542671459,130773065,129646647
Compound,COMP,428.19,-3.39,-21.0,2232392733,204866416,5213577
Hedera Hashgraph,HBAR,0.2563,-2.44,-5.1,2160279775,270936364,8430320688
Bitcoin BEP2,BTCB,39136.24,1.6,-1.91,2136761107,85297898,54598
Dash,DASH,208.45,0.58,-4.95,2115763862,667798602,10149864
Elrond,EGLD,113.83,-4.73,0.18,1995163097,82159064,17526860
TerraUSD,UST,0.9975,0.18,0.88,1970896315,73870333,1975924622
Decred,DCR,151.98,9.12,8.71,1970683224,39335491,12967054
